state,median_months_cash_on_hand,number_nonprofits
"",0,377
AE,3.91142448301975,4
AK,2.13099434280456,1400
AL,1.06971870959543,4201
AP,0,5
AR,1.37431237934888,2580
AS,15.7528934295247,2
AZ,1.6994889644532,4759
CA,0.885318292783279,36454
CO,2.04737433514268,7485
CT,1.70165112587184,5024
DC,4.07803692085828,5252
DE,1.88695848939354,1293
FL,0.746668496914964,15874
FM,-0.10425789519339,2
GA,1.8065124101073,8172
GU,0,21
HI,0.727495108736124,1726
IA,0.692919465255656,4521
ID,2.84067276344706,1616
IL,2.2520020517412,12942
IN,1.39188062529607,7521
KS,0.647926792478128,3324
KY,1.19121226133557,4059
LA,1.11352037766696,4070
MA,3.52768843598487,10185
MD,1.67583241602166,7156
ME,2.6048479003925,2303
MI,1.81491014539021,9469
MN,2.34982700169135,8612
MO,1.02315548977098,6887
MP,4.7035466461064,16
MS,1.15830946344542,2375
MT,1.77406290392072,2039
NC,2.4644685100896,9606
ND,1.08187685880509,1359
NE,1.95877778122291,2623
NH,2.332113611075,1925
NJ,1.47389958970672,9229
NM,2.3748141589141,2079
NV,0.183830273244847,1842
NY,2.47742289393455,26096
OH,1.11300880961025,13327
OK,0.903157004180442,3398
OR,1.8392449042492,5309
PA,1.9196129248216,17122
PR,0.47910862986122,666
PW,-25.1556632898181,1
RI,2.54548708974607,1618
SC,1.28665183819164,4029
SD,2.91747817852789,1364
TN,1.73641371744345,6215
TX,0.586817109087787,21193
UT,1.99169954686506,2204
VA,2.48852315615033,9784
VI,1.83857715087513,91
VT,2.02116054301094,1602
WA,2.11907338456741,7992
WI,3.21095822288267,6662
WV,1.29132659276404,2158
WY,1.2066701173893,1039
,0,4241
